PID,Social Media Post,Normalized Claim
1,"President 
 @realDonaldTrump
 : ""Biden's plan would mean America's seniors have no air conditioners during the summer.""","Biden’s energy plan would get rid of seniors’ air conditioning, heat and electricity"
2,"IMPORTANT ANNOUNCEMENT - CORONAVIRUS
Last evening dining out with friends, one of their uncles, who's graduated with a master's degree and who worked in Shenzhen Hospital (Guangdong Province, China) sent him the following notes on Coronavirus for guidance:
1. If you have a runny nose and sputum, you have a common cold
2. Coronavirus pneumonia is a dry cough with no runny nose.
3. This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun.
4. If someone sneezes with it, it takes about 10 feet before it drops to the ground and is no longer airborne.
5. If it drops on a metal surface it will live for at least 12 hours - so if you come into contact with any metal surface - wash your hands as soon as you can with a bacterial soap.
6. On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.
7. Drinking warm water is effective for all viruses. Try not to drink liquids with ice.
8. Wash your hands frequently as the virus can only live on your hands for 5-10 minutes, but - a lot can happen during that time - you can rub your eyes, pick your nose unwittingly and so on.
9. You should also gargle as a prevention. A simple solution of salt in warm water will suffice.
10. Can't emphasise enough - drink plenty of water!
THE SYMPTOMS
1. It will first infect the throat, so you'll have a sore throat lasting 3/4 days
2. The virus then blends into a nasal fluid that enters the trachea and then the lungs, causing pneumonia. This takes about 5/6 days further.
3. With the pneumonia comes high fever and difficulty in breathing.
4. The nasal congestion is not like the normal kind. You feel like you're drowning. It's imperative you then seek immediate attention.
SPREAD THE WORD - PLEASE SHARE.","If someone with the new coronavirus sneezes, it travels about 10 feet before it drops to the ground and is no longer airborne"
3,Heart is delighted to hear,Heart is delighted to hear
4,An allowed appeal is one where the initial refusal is overturned and the judge replaces the decision (most commonly with a decision to grant a form of status),"The vast majority of people coming across the Channel are economic migrants, they are not asylum seekers."
5,"WARM WATER THERAPY
Dr. D. Mensah Asare says that the main benefits of warm water are numerous.
A group of Japanese Doctors confirmed that warm water is 100% effective in resolving some health problems?, including:

Headache, migraine, high blood pressure, low blood pressure, pain of joints, sudden increasing and decreasing of heartbeat, Epilepsy, increasing level of cholesterol, cough, bodily discomfort, golu pain, asthma, hooping cough, blockage of veins, diseases related to uterus & urine, stomach problems, poor appetite, also all related diseases to the eyes, ear & throat.

HOW TO USE WARM WATER ?

DRINK 4 GLASSES OF WARM WATER (NOT ABOVE 100 DEGREE CENTIGRADE TEMPERATURE) ON EMPTY STOMACH FIRST THING IN THE MORNING AND EAT NOTHING UNTIL AN HOUR LATER
You may not be able to make 4 glasses at the beginning, but slowly you will.

The warm water therapy will resolve these health issues within reasonable periods:?
?*Diabetes in 30 days
?*Blood pressure in 30 days
?*Stomach related issues in 10 days
?*All types of cancer in 9 months
?*Blockage of veins in 6 months
?*Lack of hunger (Poor appetite?) in 10 days
?*Uterus and related diseases in 10 days
?*Nose, Ear & Throat problems in 10 days.
?*Women problems(?) in 15 days,
?*Heart diseases in 30 days
?*Headache/Migraine in 3 days
? *Low blood pressure in 30 days.
?*Cholesterol in 4 months
?*Epilepsy and paralysis continously in 9 months
?*Asthma in 4 months.

NO DOUBT WARM WATER ON EMPTY STOMACH EVERY MORNING WILL HELP IMMENSELY IN AIDING DIGESTION, ELIMINATING CONSTIPATION, ALLEVIATING PAIN, SHEDING EXCESS FATS, IMPROVING BLOOD CIRCULATION, SLOWING DOWN TO A GREAT MEASURE PREMATURE AGING ETC",A widely popular social media post claims that drinking warm water will cure a long list of diseases. We fact checked and found that the claim is Mostly False.
6,"In Thane, Thyrocare lab sealed by gov., because they gave fake covid positive reports to ppl. The reason behind this is this lab have connection with pvt. Hospitals and after fake positive reports they send that person to that particular hospitals those have three lakhs rupees package for Covid patient. False positives putting Thane citizens at risk. Please share so it can reach to Max people",Thyrocare labs are sealed in Thane over false-positive COVID19 testing
7,Meanwhile in Kipsigis a covid patient was nearly buried alive. MoH has really bungled this pandemic and the best thing they could all do is resign.,COVID-19 victim was almost buried alive
8,"DID YOU KNOW?

Eating 2 onions daily helps increase immunity, treat depression, fight the common cold and flu being a potent natural antibiotic, and it helps you sleep better!",Eating 2 slices of onions a day treat depression
9,"QAnon promoters on Telegram, including QAnon John, are already speculating baselessly that the elementary school shooting in Uvalde, Texas, was a false flag.","The shooting at an elementary school in Uvalde County, Texas, was a false flag."
10,"In Asia, where hundreds of millions of smallpox vaccinations were given from 1967 to 1972, AIDS remains rare. Conversely, the US is experiencing a major AIDS epidemic. Yet smallpox was eradicated there many years ago","According to the Times in 1987, smallpox vaccines triggered the awakening of dormant HIV among recipients, causing the AIDS epidemic."
11,"If you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up","If you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up."
12,"There is a possibility that these common adverse reactions, that are not dangerous in fitter, younger patients and are not unusual with vaccines, may aggravate underlying disease in the elderly",23 people in Norway died after getting the Pfizer Covid-19 vaccine.
13,"In honor of #TaxDay, I remind you that Governor Evers wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion. 
 
 We want to keep more money in your pockets.","Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes Instead, Republicans cut your taxes by more than $2 billion."" "
14,"Bengali actor Aindrila Sharma passed away at the age of 24 in a private hospital in Howrah today after suffering multiple cardiac arrests last night. 
 
 Another effect of Covid Vaccine! Young people getting heart attacks! Slowly people are dying due to vaccine! #COVIDBooster",Bengali actor Aindrila Sharma die of the covid vaccine
15,"Our study found that engaging in 7 h of mental work similar to that found in an office environment, with 10-min breaks every 50 min, can negatively impact cognitive efficiency, suppress brain neural network activity, and cause mental fatigue. These effects do not fully recover after a 4.5-h rest","A study shows short breaks during a working day cause mental exhaustion that affects a person’s focus, as well as attention, learning and visual recognition."
16,#staywoke #conspiracytheory #moonlanding #space #wakeup,Buzz Aldrin admitted the Moon landings were faked in an interview.
17,"Thrilled that 
 @US_FDA
  has granted Fast Track Designation for our mRNA-based combo vaccine candidate for influenza and #COVID19, expediting the review time so we hopefully can bring this potential: https://on.pfizer.com/3FbIXop","Pfizer CEO Albert Bourla resigned, saying mRNA vaccines are “not safe.”
"
18,Two terrorists caught by police with courage and intelligence at Dahod railway station. Some people and employees of the railway administration were held hostage at gunpoint by the terrorists,Two terrorists caught by police with courage and intelligence at Dahod railway station. Some people and employees of the railway administration were held hostage at gunpoint by the terrorists.
19,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business & JOBS","Says the GOP plan he supports is ""the biggest tax cut in U.S. history."""
20,"Flu season is coming up! Many people every year, sometimes over 100,000, and despite the Vaccine, die from the Flu. Are we going to close down our Country? No, we have learned to live with it, just like we are learning to live with Covid, in most populations far less lethal!!!","Sometimes 100,000 people or more die from the seasonal flu"
21,"*Bank strike announced on 26th & 27th September*,
*28th September is 4th Saturday*,
*29th is Sunday..*
*30 th half yearly closing.*
*Oct 2 Gandhi Jayanthi holiday.*
*Plan accordingly*",Banks are closed continuously from 26th September 2019 to 30th September 2019.
22,"420. Fraud 
 @annamalai_k","Modi inaugurated the first phase of the Ahmedabad metro project, which was already inaugurated in 2019."
23,"The facts don't lie. The 2021 letter you signed was obviously drafted by railroad industry lobbyists. 
 
 It supports waivers that would reduce visual track inspections. 
 
 Now: will you vote to help us toughen rail safety accountability and fines, or not?"," ""The 2021 letter [Marco Rubio] signed was obviously drafted by railroad industry lobbyists. It supports waivers that would reduce visual track inspections.”"
24,"New variant B.1.1.529 is named as #OMICRON
Stay at Home
From A Doctors' group RSA
The virus is back, this time with more energy, tactics and camouflage.
We don't cough, No fever, it's joint pain, weakness,
Loss of appetite and Covid pneumonia!
Of course, the death rate is higher, it takes less time to get to the extreme. Sometimes no symptoms ... let's be careful ...
The strain is not domiciled in our nasopharyngeal region!
It directly affects the lungs, which means window periods are shortened.
I have seen a number of patients without fever, but an x-ray report shows moderate chest pneumonia!
The nasal swab is often negative for COVID19!
There are more and more false pharyngeal nasal tests #COVID19) ... which means that the virus spreads directly to the lungs causing acute respiratory distress due to viral pneumonia! This explains why it has become acute and more fatal !!!
Be careful, avoid crowded places, wear a face mask, wash your hands often.
*WAVE* more deadly than the first. So we have to be very careful and *take every precaution.*
Please become an alert communicator among friends and family ...
__________
DO NOT keep this information to yourself, share it with your family and friends.
Please take care and stay safe !",The Omicron variant cannot be detected by PCR test?
25,The UNHCR is present in the region and they are the right mechanism by which people should apply if they do want to seek asylum in the United Kingdom,People fleeing Sudan for humanitarian reasons should apply through the UNHCR if they want to seek asylum in the UK.
26,"PSA:
This is Hypercapnia. It can be caused by rebreathing your own exhaled CO2 by wearing a mask CONTINUOUSLY!","Wearing a mask can cause hypercapnia, by making you breathe in too much carbon dioxide."
27,all the world's a stage,A police car destroyed during protests in Bristol is a prop vehicle as the MOT has expired.
28,"A study found that 2 hours of silence per day promotes cell development in the hippocampus region of the brain, where memories are found",Fact Check: Can remaining silent for a few hours per day promote cell growth in the human brain?
29,How Can Harris Be The 1st Black Woman to Run for VP? or Person of Color? MEET Charlotta Bass.,Charlotta Bass was the first Black woman to run for vice president
30,"@GovEvers
  liquor stores are open, strip malls can have 5 customers, but dentists are non-essential?! 
 @VickiMcKenna
  @EmpowerWi
  #wiright",Says Gov Tony Evers’ administration deemed dentists non-essential
31,Pilot pissing in the cockpit of PAF F-16 said urine increases efficiency of jets told by Allah in his dream,Pilot pissing in the cockpit of PAF F-16 said urine increases efficiency of jets told by Allah in his dream.
32,It is an herbal combination that helps to strengthen your gums and completely eliminate all of the stains from your teeth.,Herbal teeth whitening foams strengthen gums
33,It is interesting to see the memorandum of the British government through which Mr. Gandhi became Mahatma Gandhi officially,It is interesting to see the memorandum of the British government through which  Mr. Gandhi became Mahatma Gandhi officially.
34,"The lady holding the #BIBLE in her hand is none other than..
 
 The wife of Subba Reddy (Chairman of the world richest Hindu temple - Tirupati)
 
 Dear Hindu's..
 Wake up before it's too late","The lady holding the #BIBLE in her hand is none other than..

The wife of Subba Reddy (Chairman of the world richest Hindu temple – Tirupati🛕)

Dear Hindu’s..

Wake up before it’s too late🙏"
35,"We've bought the Moderna which protects you against both Covid and flu, which is a good thing, so get that booster in place.""
This isn",The Moderna booster vaccine protects you against both Covid-19 and flu.
